Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe Coating,Internal Pressure (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
16.0,0.375,X-42,Rough Steel,1500,8,5,30,50,130,Perpendicular,27.73,1084.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,50,140,Parallel,22.4,876.15,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,50,140,Perpendicular,29.87,1168.2,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,110,Parallel,17.6,688.41,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,110,Perpendicular,23.47,917.87,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,120,Parallel,19.2,750.99,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,120,Perpendicular,25.6,1001.32,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,125,Parallel,20.0,782.28,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,125,Perpendicular,26.67,1043.04,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,130,Parallel,20.8,813.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,130,Perpendicular,27.73,1084.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,140,Parallel,22.4,876.15,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,100,140,Perpendicular,29.87,1168.2,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,110,Parallel,17.6,688.41,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,110,Perpendicular,23.47,917.87,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,120,Parallel,19.2,750.99,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,120,Perpendicular,25.6,1001.32,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,125,Parallel,20.0,782.28,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,125,Perpendicular,26.67,1043.04,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,130,Parallel,20.8,813.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,130,Perpendicular,27.73,1084.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,140,Parallel,22.4,876.15,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,150,140,Perpendicular,29.87,1168.2,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,110,Parallel,17.6,688.41,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,110,Perpendicular,23.47,917.87,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,120,Parallel,19.2,750.99,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,120,Perpendicular,25.6,1001.32,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,125,Parallel,20.0,782.28,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,125,Perpendicular,26.67,1043.04,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,130,Parallel,20.8,813.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,130,Perpendicular,27.73,1084.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,140,Parallel,22.4,876.15,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,30,200,140,Perpendicular,29.87,1168.2,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,110,Parallel,17.99,703.7,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,110,Perpendicular,24.25,948.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,120,Parallel,19.63,767.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,120,Perpendicular,26.45,1034.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,125,Parallel,20.44,799.66,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,125,Perpendicular,27.56,1077.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,130,Parallel,21.26,831.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,130,Perpendicular,28.66,1120.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,140,Parallel,22.9,895.62,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,0,140,Perpendicular,30.86,1207.14,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,110,Parallel,17.99,703.7,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,110,Perpendicular,24.25,948.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,120,Parallel,19.63,767.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,120,Perpendicular,26.45,1034.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,125,Parallel,20.44,799.66,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,125,Perpendicular,27.56,1077.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,130,Parallel,21.26,831.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,130,Perpendicular,28.66,1120.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,140,Parallel,22.9,895.62,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,50,140,Perpendicular,30.86,1207.14,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,110,Parallel,17.99,703.7,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,110,Perpendicular,24.25,948.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,120,Parallel,19.63,767.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,120,Perpendicular,26.45,1034.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,125,Parallel,20.44,799.66,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,125,Perpendicular,27.56,1077.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,130,Parallel,21.26,831.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,130,Perpendicular,28.66,1120.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,140,Parallel,22.9,895.62,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,100,140,Perpendicular,30.86,1207.14,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,110,Parallel,17.99,703.7,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,110,Perpendicular,24.25,948.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,120,Parallel,19.63,767.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,120,Perpendicular,26.45,1034.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,125,Parallel,20.44,799.66,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,125,Perpendicular,27.56,1077.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,130,Parallel,21.26,831.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,130,Perpendicular,28.66,1120.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,140,Parallel,22.9,895.62,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,150,140,Perpendicular,30.86,1207.14,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,110,Parallel,17.99,703.7,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,110,Perpendicular,24.25,948.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,120,Parallel,19.63,767.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,120,Perpendicular,26.45,1034.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,125,Parallel,20.44,799.66,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,125,Perpendicular,27.56,1077.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,130,Parallel,21.26,831.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,130,Perpendicular,28.66,1120.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,140,Parallel,22.9,895.62,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,32,200,140,Perpendicular,30.86,1207.14,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,110,Parallel,18.58,726.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,110,Perpendicular,25.42,994.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,120,Parallel,20.27,792.71,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,120,Perpendicular,27.73,1084.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,125,Parallel,21.11,825.74,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,125,Perpendicular,28.89,1129.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,130,Parallel,21.96,858.77,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,130,Perpendicular,30.04,1175.16,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,140,Parallel,23.64,924.83,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,0,140,Perpendicular,32.36,1265.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,110,Parallel,18.58,726.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,110,Perpendicular,25.42,994.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,120,Parallel,20.27,792.71,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,120,Perpendicular,27.73,1084.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,125,Parallel,21.11,825.74,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,125,Perpendicular,28.89,1129.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,130,Parallel,21.96,858.77,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,130,Perpendicular,30.04,1175.16,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,140,Parallel,23.64,924.83,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,50,140,Perpendicular,32.36,1265.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,110,Parallel,18.58,726.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,110,Perpendicular,25.42,994.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,120,Parallel,20.27,792.71,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,120,Perpendicular,27.73,1084.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,125,Parallel,21.11,825.74,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,125,Perpendicular,28.89,1129.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,130,Parallel,21.96,858.77,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,130,Perpendicular,30.04,1175.16,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,140,Parallel,23.64,924.83,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,100,140,Perpendicular,32.36,1265.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,110,Parallel,18.58,726.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,110,Perpendicular,25.42,994.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,120,Parallel,20.27,792.71,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,120,Perpendicular,27.73,1084.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,125,Parallel,21.11,825.74,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,125,Perpendicular,28.89,1129.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,130,Parallel,21.96,858.77,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,130,Perpendicular,30.04,1175.16,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,140,Parallel,23.64,924.83,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,150,140,Perpendicular,32.36,1265.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,110,Parallel,18.58,726.65,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,110,Perpendicular,25.42,994.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,120,Parallel,20.27,792.71,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,120,Perpendicular,27.73,1084.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,125,Parallel,21.11,825.74,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,125,Perpendicular,28.89,1129.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,130,Parallel,21.96,858.77,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,130,Perpendicular,30.04,1175.16,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,140,Parallel,23.64,924.83,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,5,35,200,140,Perpendicular,32.36,1265.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,110,Parallel,16.62,910.23,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,110,Perpendicular,21.51,1177.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,120,Parallel,18.13,992.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,120,Perpendicular,23.47,1285.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,125,Parallel,18.89,1034.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,125,Perpendicular,24.44,1338.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,130,Parallel,19.64,1075.72,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,130,Perpendicular,25.42,1392.11,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,140,Parallel,21.16,1158.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,0,140,Perpendicular,27.38,1499.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,110,Parallel,16.62,910.23,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,110,Perpendicular,21.51,1177.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,120,Parallel,18.13,992.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,120,Perpendicular,23.47,1285.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,125,Parallel,18.89,1034.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,125,Perpendicular,24.44,1338.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,130,Parallel,19.64,1075.72,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,130,Perpendicular,25.42,1392.11,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,140,Parallel,21.16,1158.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,50,140,Perpendicular,27.38,1499.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,110,Parallel,16.62,910.23,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,110,Perpendicular,21.51,1177.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,120,Parallel,18.13,992.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,120,Perpendicular,23.47,1285.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,125,Parallel,18.89,1034.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,125,Perpendicular,24.44,1338.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,130,Parallel,19.64,1075.72,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,130,Perpendicular,25.42,1392.11,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,140,Parallel,21.16,1158.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,100,140,Perpendicular,27.38,1499.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,110,Parallel,16.62,910.23,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,110,Perpendicular,21.51,1177.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,120,Parallel,18.13,992.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,120,Perpendicular,23.47,1285.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,125,Parallel,18.89,1034.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,125,Perpendicular,24.44,1338.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,130,Parallel,19.64,1075.72,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,130,Perpendicular,25.42,1392.11,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,140,Parallel,21.16,1158.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,150,140,Perpendicular,27.38,1499.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,110,Parallel,16.62,910.23,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,110,Perpendicular,21.51,1177.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,120,Parallel,18.13,992.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,120,Perpendicular,23.47,1285.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,125,Parallel,18.89,1034.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,125,Perpendicular,24.44,1338.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,130,Parallel,19.64,1075.72,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,130,Perpendicular,25.42,1392.11,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,140,Parallel,21.16,1158.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,25,200,140,Perpendicular,27.38,1499.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,110,Parallel,17.21,942.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,110,Perpendicular,22.68,1242.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,120,Parallel,18.77,1028.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,120,Perpendicular,24.75,1355.12,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,125,Parallel,19.56,1070.85,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,125,Perpendicular,25.78,1411.58,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,130,Parallel,20.34,1113.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,130,Perpendicular,26.81,1468.04,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,140,Parallel,21.9,1199.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,0,140,Perpendicular,28.87,1580.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,110,Parallel,17.21,942.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,110,Perpendicular,22.68,1242.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,120,Parallel,18.77,1028.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,120,Perpendicular,24.75,1355.12,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,125,Parallel,19.56,1070.85,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,125,Perpendicular,25.78,1411.58,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,130,Parallel,20.34,1113.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,130,Perpendicular,26.81,1468.04,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,140,Parallel,21.9,1199.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,50,140,Perpendicular,28.87,1580.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,110,Parallel,17.21,942.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,110,Perpendicular,22.68,1242.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,120,Parallel,18.77,1028.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,120,Perpendicular,24.75,1355.12,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,125,Parallel,19.56,1070.85,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,125,Perpendicular,25.78,1411.58,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,130,Parallel,20.34,1113.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,130,Perpendicular,26.81,1468.04,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,140,Parallel,21.9,1199.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,100,140,Perpendicular,28.87,1580.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,110,Parallel,17.21,942.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,110,Perpendicular,22.68,1242.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,120,Parallel,18.77,1028.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,120,Perpendicular,24.75,1355.12,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,125,Parallel,19.56,1070.85,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,125,Perpendicular,25.78,1411.58,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,130,Parallel,20.34,1113.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,130,Perpendicular,26.81,1468.04,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,140,Parallel,21.9,1199.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,150,140,Perpendicular,28.87,1580.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,110,Parallel,17.21,942.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,110,Perpendicular,22.68,1242.19,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,120,Parallel,18.77,1028.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,120,Perpendicular,24.75,1355.12,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,125,Parallel,19.56,1070.85,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,125,Perpendicular,25.78,1411.58,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,130,Parallel,20.34,1113.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,130,Perpendicular,26.81,1468.04,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,140,Parallel,21.9,1199.36,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,28,200,140,Perpendicular,28.87,1580.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,30,0,110,Parallel,17.6,963.77,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,8,7,30,0,110,Perpendicular,23.47,1285.02,0,0.0,Exceeds
