Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe Coating,Internal Pressure (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
16.0,0.375,X-42,Rough Steel,1500,5,5,25,200,125,Parallel,11.81,461.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,200,125,Perpendicular,15.28,597.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,200,130,Parallel,12.28,480.23,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,200,130,Perpendicular,15.89,621.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,200,140,Parallel,13.22,517.17,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,200,140,Perpendicular,17.11,669.28,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,110,Parallel,10.76,420.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,110,Perpendicular,14.18,554.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,120,Parallel,11.73,458.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,120,Perpendicular,15.47,604.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,125,Parallel,12.22,478.06,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,125,Perpendicular,16.11,630.17,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,130,Parallel,12.71,497.18,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,130,Perpendicular,16.76,655.38,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,140,Parallel,13.69,535.43,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,0,140,Perpendicular,18.04,705.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,110,Parallel,10.76,420.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,110,Perpendicular,14.18,554.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,120,Parallel,11.73,458.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,120,Perpendicular,15.47,604.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,125,Parallel,12.22,478.06,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,125,Perpendicular,16.11,630.17,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,130,Parallel,12.71,497.18,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,130,Perpendicular,16.76,655.38,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,140,Parallel,13.69,535.43,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,50,140,Perpendicular,18.04,705.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,110,Parallel,10.76,420.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,110,Perpendicular,14.18,554.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,120,Parallel,11.73,458.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,120,Perpendicular,15.47,604.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,125,Parallel,12.22,478.06,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,125,Perpendicular,16.11,630.17,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,130,Parallel,12.71,497.18,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,130,Perpendicular,16.76,655.38,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,140,Parallel,13.69,535.43,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,100,140,Perpendicular,18.04,705.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,110,Parallel,10.76,420.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,110,Perpendicular,14.18,554.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,120,Parallel,11.73,458.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,120,Perpendicular,15.47,604.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,125,Parallel,12.22,478.06,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,125,Perpendicular,16.11,630.17,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,130,Parallel,12.71,497.18,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,130,Perpendicular,16.76,655.38,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,140,Parallel,13.69,535.43,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,150,140,Perpendicular,18.04,705.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,110,Parallel,10.76,420.69,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,110,Perpendicular,14.18,554.55,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,120,Parallel,11.73,458.94,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,120,Perpendicular,15.47,604.96,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,125,Parallel,12.22,478.06,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,125,Perpendicular,16.11,630.17,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,130,Parallel,12.71,497.18,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,130,Perpendicular,16.76,655.38,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,140,Parallel,13.69,535.43,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,28,200,140,Perpendicular,18.04,705.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,110,Parallel,11.0,430.25,0,0.0,Exceeds
