Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Stiff Lean Clay,CL,16,0.375,X-42,1,45,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,845.752627,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,46,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,864.54713,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,47,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,883.341633,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,48,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,902.136136,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,49,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,920.930638,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,50,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,939.725141,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,51,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,958.519644,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,52,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,977.314147,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,53,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,996.10865,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,54,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1014.903153,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,55,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1033.697655,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,56,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1052.492158,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,57,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1071.286661,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,58,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1090.081164,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,59,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1108.875667,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,60,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1127.670169,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,61,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1146.464672,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,62,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1165.259175,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,63,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1184.053678,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,64,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1202.848181,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,65,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1221.642684,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,66,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,1240.437186,6680.0,355.423076,Does Not Exceed
