Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,41,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,811.847874,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,42,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,831.649041,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,43,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,851.450209,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,44,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,871.251377,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,45,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,891.052544,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,46,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,910.853712,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,47,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,930.65488,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,48,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,950.456047,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,49,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,970.257215,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,50,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,990.058383,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,51,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1009.85955,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,52,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1029.660718,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,53,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1049.461885,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,54,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1069.263053,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,55,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1089.064221,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,56,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1108.865388,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,57,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1128.666556,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,58,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1148.467724,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,59,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1168.268891,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,60,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1188.070059,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,61,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1207.871227,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,62,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1227.672394,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,63,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1247.473562,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,64,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1267.27473,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,65,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1287.075897,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,66,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1306.877065,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,67,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1326.678233,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,68,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1346.4794,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,69,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1366.280568,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,70,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1386.081736,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,71,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1405.882903,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,72,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1425.684071,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,73,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1445.485239,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,74,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1465.286406,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,75,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1485.087574,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,76,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1504.888741,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,77,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1524.689909,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,78,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1544.491077,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,79,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1564.292244,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,80,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1584.093412,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,81,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1603.89458,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,82,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1623.695747,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,83,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1643.496915,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,84,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1663.298083,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,85,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1683.09925,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,86,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1702.900418,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,87,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1722.701586,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,88,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1742.502753,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,89,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1762.303921,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,90,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1782.105089,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,91,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1801.906256,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,92,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1821.707424,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,93,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1841.508592,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,94,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1861.309759,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,95,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1881.110927,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,96,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1900.912094,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,97,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1920.713262,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,98,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1940.51443,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,99,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1960.315597,6680.0,337.353843,Does Not Exceed
