Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Stiff Fat Clay,CH,16,0.375,X-42,1,46,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1188.36,13801.64,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,47,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1214.19,13775.81,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,48,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1240.03,13749.97,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,49,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1265.86,13724.14,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,50,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1291.7,13698.3,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,51,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1317.53,13672.47,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,52,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1343.36,13646.64,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,53,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1369.2,13620.8,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,54,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1395.03,13594.97,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,55,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1420.86,13569.14,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,56,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1446.7,13543.3,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,57,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1472.53,13517.47,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,58,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1498.37,13491.63,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,59,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1524.2,13465.8,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,60,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1550.03,13439.97,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,61,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1575.87,13414.13,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,62,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1601.7,13388.3,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,63,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1627.54,13362.46,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,64,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1653.37,13336.63,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,65,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1679.2,13310.8,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,66,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1705.04,13284.96,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,67,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1730.87,13259.13,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,68,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1756.71,13233.29,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,69,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1782.54,13207.46,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,70,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1808.37,13181.63,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,71,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1834.21,13155.79,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,72,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1860.04,13129.96,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,73,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1885.88,13104.12,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,74,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1911.71,13078.29,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,75,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1937.54,13052.46,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,76,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1963.38,13026.62,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,77,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,1989.21,13000.79,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,78,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2015.04,12974.96,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,79,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2040.88,12949.12,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,80,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2066.71,12923.29,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,81,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2092.55,12897.45,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,82,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2118.38,12871.62,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,83,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2144.21,12845.79,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,84,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2170.05,12819.95,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,85,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2195.88,12794.12,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,86,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2221.72,12768.28,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,87,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2247.55,12742.45,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,88,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2273.38,12716.62,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,89,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2299.22,12690.78,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,90,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2325.05,12664.95,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,91,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2350.89,12639.11,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,92,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2376.72,12613.28,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,93,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2402.55,12587.45,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,94,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2428.39,12561.61,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,95,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2454.22,12535.78,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,96,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2480.06,12509.94,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,97,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2505.89,12484.11,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,98,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2531.72,12458.28,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,99,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2557.56,12432.44,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,100,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,2583.39,12406.61,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,10,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,391.52,14598.48,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,11,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,430.67,14559.33,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,12,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,469.83,14520.17,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,13,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,508.98,14481.02,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,14,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,548.13,14441.87,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,15,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,587.28,14402.72,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,16,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,626.44,14363.56,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,17,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,665.59,14324.41,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,18,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,704.74,14285.26,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,19,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,743.89,14246.11,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,20,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,783.05,14206.95,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,21,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,822.2,14167.8,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,22,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,861.35,14128.65,382.86,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,2,23,Rough Steel,1500,26.0,100.0,120.0,Parallel,720.71,900.5,14089.5,382.86,Does Not Exceed
